Parent User,Parent Sex,Parent Sign,Parent Comment,Parent Time,Parent Location,Parent Level,Child User,Child Sex,Child Sign,Child Comment,Child Time,Child Location,Child Level
原神李太冲,男,『命运抉择』系列视频持续更新……,总算看到一个正经分析姜萍水平的视频了！感谢分享！让我得以较为直观地理解姜萍的天赋高度，这样的数学天赋确实称得上是天才。,9天前发布,IP属地：福建,6,晶格伊辛模型自举,保密,,回复 @伊泽诱尔 :想多了 可能是高中或者大学竞赛水平的题目 这个阿里巴巴数学竞赛的委员都是张益唐这种世界著名数学家 难度不会低,8天前发布,IP属地：广东,5
地狱二踢脚,保密,,太强了真的太强了，17岁就自学了矩阵论，数理统计，线性代数，概率论等等一众大学研究生的科目。我17岁还在做三角函数圆锥曲线哈哈哈，不得不说兴趣果然是最好的老师,8天前发布,IP属地：陕西,5,未知笙歌落,保密,没有个性 所以没有签名,数学专业的话，这些属于本科课程,8天前发布,IP属地：重庆,5
地狱二踢脚,保密,,太强了真的太强了，17岁就自学了矩阵论，数理统计，线性代数，概率论等等一众大学研究生的科目。我17岁还在做三角函数圆锥曲线哈哈哈，不得不说兴趣果然是最好的老师,8天前发布,IP属地：陕西,5,地狱二踢脚,保密,,回复 @未知笙歌落 :哈哈哈哈我计算机专业矩阵论和数理统计都是研究生科目,8天前发布,IP属地：陕西,5
地狱二踢脚,保密,,太强了真的太强了，17岁就自学了矩阵论，数理统计，线性代数，概率论等等一众大学研究生的科目。我17岁还在做三角函数圆锥曲线哈哈哈，不得不说兴趣果然是最好的老师,8天前发布,IP属地：陕西,5,无名亡者,保密,,还是有区别的。。。你17岁还在备战高考，不可能精力都放在一科上,8天前发布,IP属地：北京,5
安德烈_韦伊,男,,"在有些地方竟然看到有些人说“预赛看不出什么，大佬都在放水，决赛名次才能看出水平”这种言论。

其实稍微想想就能明白姜萍的天赋有多强。预赛前200大约是清北较强的本科生水平，这应该是常识了，假如这200人里有10%认真考了初赛，那这第12名就能说明人家17岁能达到清北的中等偏上水平，这简直离谱。

另外，姜萍决赛大概率是拿不到什么好成绩的，但这并不说明人家不强，即使是17岁的韦神到这决赛也拿不到多高的名次。到时候，姜萍在网络上大概要被骂了",9天前发布,IP属地：北京,6,职业棋手连笑,保密,,这话并没有说错，因为排她后面的大佬不会坐满48小时。因为这是预赛，做到90分左右就足够了,9天前发布,IP属地：广西,5
安德烈_韦伊,男,,"在有些地方竟然看到有些人说“预赛看不出什么，大佬都在放水，决赛名次才能看出水平”这种言论。

其实稍微想想就能明白姜萍的天赋有多强。预赛前200大约是清北较强的本科生水平，这应该是常识了，假如这200人里有10%认真考了初赛，那这第12名就能说明人家17岁能达到清北的中等偏上水平，这简直离谱。

另外，姜萍决赛大概率是拿不到什么好成绩的，但这并不说明人家不强，即使是17岁的韦神到这决赛也拿不到多高的名次。到时候，姜萍在网络上大概要被骂了",9天前发布,IP属地：北京,6,安德烈_韦伊,男,,回复 @职业棋手连笑 :“至少10%的大佬认真做了预赛”已经是一个置信度相当高的估计了,9天前发布,IP属地：北京,6
开心的王王,男,一个普通的UP主,她在中专挺好的，要是在普高的话，浪费时间去学其他科目就是得不偿失。在中专既可以学习数学，又刚好遇到伯乐，还可以学习服装设计，这样数学的纯理性逻辑和手工设计的运用实践相结合，是非常好的。中考分流对于大部分普通人是好的，至于天才，他们会自己找到出路，就像夜空中的星星自会熠熠生辉，不必担心,8天前发布,IP属地：重庆,6,飞越彩虹0,保密,,我看了她的服装设计图，画的很好，是在自己两个真爱当中游刃有余了，比一般的高中生快乐的多,8天前发布,IP属地：北京,6
开心的王王,男,一个普通的UP主,她在中专挺好的，要是在普高的话，浪费时间去学其他科目就是得不偿失。在中专既可以学习数学，又刚好遇到伯乐，还可以学习服装设计，这样数学的纯理性逻辑和手工设计的运用实践相结合，是非常好的。中考分流对于大部分普通人是好的，至于天才，他们会自己找到出路，就像夜空中的星星自会熠熠生辉，不必担心,8天前发布,IP属地：重庆,6,metzeny,保密,玩玩变形金刚，收藏各种模型，养养鱼和龟,她好像不是被分流的，她中考有600多分，是可以上高中的，好像是家里条件不好所以没上高中，学服装设计也是她的兴趣,8天前发布,IP属地：湖北,5
开心的王王,男,一个普通的UP主,她在中专挺好的，要是在普高的话，浪费时间去学其他科目就是得不偿失。在中专既可以学习数学，又刚好遇到伯乐，还可以学习服装设计，这样数学的纯理性逻辑和手工设计的运用实践相结合，是非常好的。中考分流对于大部分普通人是好的，至于天才，他们会自己找到出路，就像夜空中的星星自会熠熠生辉，不必担心,8天前发布,IP属地：重庆,6,间音梵,保密,,回复 @metzeny :中专学费不低的。她家庭条件肯定还不错。普通高中拿政府教育经费学费反而非常低，你……[思考],7天前发布,IP属地：江苏,5
识途小小马,男,普通人，理想尚存，热血未烬。,有点马克思设想的社会工作的感觉，你职业可以是警察，环卫工，老师，但工作之余你也可以从事体育运动，科学研究这些,8天前发布,IP属地：江苏,5,鲨胆生,保密,,@天道为殇 最支持京爷的一集,3天前发布,IP属地：广东,5
识途小小马,男,普通人，理想尚存，热血未烬。,有点马克思设想的社会工作的感觉，你职业可以是警察，环卫工，老师，但工作之余你也可以从事体育运动，科学研究这些,8天前发布,IP属地：江苏,5,逆水行舟blazer,保密,一个正在写科幻小说的摸鱼大学生，实体书出版后考虑上架网文平台，届时诚邀画师、制作组等洽谈合作。大家的捧场支持都是我的动力,气乐了，把科学研究当成拍脑袋了,2天前发布,IP属地：江苏,5
识途小小马,男,普通人，理想尚存，热血未烬。,有点马克思设想的社会工作的感觉，你职业可以是警察，环卫工，老师，但工作之余你也可以从事体育运动，科学研究这些,8天前发布,IP属地：江苏,5,芜湖只因场,保密,这个人很神秘，他真的什么都没有写!,[tv_doge]《我爱科学》，这边是人工队,1天前发布,IP属地：江苏,5
魈好拽我好哀u,男,,给我看泪目了，作为一个读工科的数学爱好者，希望能在暑假里继续学习自己喜欢的数学[大哭]之前一直被家长说是“虚假的热爱”[笑哭]决定改过自新，洗心革面,9天前发布,IP属地：江苏,5,心态和体重一样稳嘞,保密,,[doge]为什么要在意家长怎么说,8天前发布,IP属地：湖南,5
魈好拽我好哀u,男,,给我看泪目了，作为一个读工科的数学爱好者，希望能在暑假里继续学习自己喜欢的数学[大哭]之前一直被家长说是“虚假的热爱”[笑哭]决定改过自新，洗心革面,9天前发布,IP属地：江苏,5,为什么不能重名嘤,保密,Spirit and Perseverance,回复 @心态和体重一样稳嘞 :他不是在意父母怎么说，而是知道自己口头热爱其实没努力,8天前发布,IP属地：山西,6
魈好拽我好哀u,男,,给我看泪目了，作为一个读工科的数学爱好者，希望能在暑假里继续学习自己喜欢的数学[大哭]之前一直被家长说是“虚假的热爱”[笑哭]决定改过自新，洗心革面,9天前发布,IP属地：江苏,5,魈好拽我好哀u,男,,回复 @心态和体重一样稳嘞 :主要可能确实说对了吧，还没真正投入其中，花大量的时间,8天前发布,IP属地：江苏,5
clem就是我,男,心如止水,拥有这样的天赋可太难了，高中的时候我也是数学满分如喝水吃饭，还偶尔会是全年级唯一150/高分这种情况，竞赛也水了省二，高考数学也差点满分，一度觉得自己数学是很不错的。但是进大学还是被高数线代狠狠碾压，天天刷题只能勉强优秀，身边有同学天天打王者，8点的考试，考前通宵线玩到4点，第二天考满分。成为艺术品其实太奢求了，真正拥有天赋的人本就是极少数，甚至我们日常生活都碰不到，而能找到自己擅长的领域，到底需要多少运气和试错成本呢，这可能不是普通家庭和普通气运的人妄求能达到的。而在事实上意识到这一切后，我真心觉得能拥有平淡且有稍微一些意义的人生就很珍贵了。,8天前发布,IP属地：北京,5,千寻谦逊的小白龙,男,记录时光，分享快乐！游戏区“单机”UP主，想要记录分享一下生活中的欢乐时光，给未来留个纪念。,是的，我觉得真相恐怕是残酷的，大部分人资质平庸，可能哪一方面都没有特别突出的天赋。,8天前发布,IP属地：湖南,5
clem就是我,男,心如止水,拥有这样的天赋可太难了，高中的时候我也是数学满分如喝水吃饭，还偶尔会是全年级唯一150/高分这种情况，竞赛也水了省二，高考数学也差点满分，一度觉得自己数学是很不错的。但是进大学还是被高数线代狠狠碾压，天天刷题只能勉强优秀，身边有同学天天打王者，8点的考试，考前通宵线玩到4点，第二天考满分。成为艺术品其实太奢求了，真正拥有天赋的人本就是极少数，甚至我们日常生活都碰不到，而能找到自己擅长的领域，到底需要多少运气和试错成本呢，这可能不是普通家庭和普通气运的人妄求能达到的。而在事实上意识到这一切后，我真心觉得能拥有平淡且有稍微一些意义的人生就很珍贵了。,8天前发布,IP属地：北京,5,目标是成为摸鱼冠军,男,,[笑哭]上大学以前一度以为我在数学方面算有点才能，直到被数理方程干趴下,8天前发布,IP属地：河北,6
clem就是我,男,心如止水,拥有这样的天赋可太难了，高中的时候我也是数学满分如喝水吃饭，还偶尔会是全年级唯一150/高分这种情况，竞赛也水了省二，高考数学也差点满分，一度觉得自己数学是很不错的。但是进大学还是被高数线代狠狠碾压，天天刷题只能勉强优秀，身边有同学天天打王者，8点的考试，考前通宵线玩到4点，第二天考满分。成为艺术品其实太奢求了，真正拥有天赋的人本就是极少数，甚至我们日常生活都碰不到，而能找到自己擅长的领域，到底需要多少运气和试错成本呢，这可能不是普通家庭和普通气运的人妄求能达到的。而在事实上意识到这一切后，我真心觉得能拥有平淡且有稍微一些意义的人生就很珍贵了。,8天前发布,IP属地：北京,5,huhaoda,保密,,回复 @目标是成为摸鱼冠军 : 1150W大学生毕业，考研数1 超过100分的估计不会超过100W   阿里这个竞赛93分 难度超过数学系研究生毕业的水平。,8天前发布,IP属地：江苏,5
暗合作用,男,。,服装设计是她的plan a，数学是plan b，是一生的爱好而已，她自己说的,9天前发布,IP属地：上海,6,天使沐浴着阳光,保密,相见不如怀念   ,线下考察一波,16小时前发布,IP属地：山西,6
王小抬,保密,热爱多，人生短。恨不能化身千万留恋，可惜蚍蜉妄念，空叹！,中专女学生和高数天才这样的巨大反差要素碰撞在一起，打破了人们的刻板印象，鼓舞了每一个有梦想的人，这就是意义所在。认可up主说的做人要做艺术品，不做工业品。工业品就是贴满了标签，可被定义的，做艺术品就是反内卷，反内耗追求个人价值的实现。,8天前发布,IP属地：吉林,6,Kosanova-2018,保密,,其实你不需要看前面几个字，你的重点也是后面几个就够了，媒体是媒体，你是你,8天前发布,IP属地：浙江,4
长风万里不送客,保密,,其实从某种意义上来说从心理上极度的热爱某种事物然后不断实践，这种能力本身也算是一种非常稀缺的天赋。很多人小时候热爱的事情多了去了，但是不是三分钟热度，最后能坚持下来的寥寥无几。,9天前发布,IP属地：陕西,6,浮生若梦14773,保密,,其实达摩院就是一场入职考试1-3一个监管过滤，3-6一个监管过滤6-9一个监管过滤最后一关蔡把手过了就是年薪百万，就是一场入职考试，除非姜萍能成为阿里巴巴内部员工不然第一场考试相当于介绍自己，老师都给了答案了,2天前发布,IP属地：广东,4
fbtbgtbh,男,知道你很急，但是你先别急,"赞了！这就是清北大佬的境界和格局。
姜萍这事简而言之，就是一位女生在中专环境中不随波逐流，保持对数学的热爱，最终在竞赛中取得很好名次的事。很多人只是停留在对女孩的质疑和天赋的判定上，而忽略了其最宝贵的精神:在中专环境中不随波逐流，保持对数学的热爱。
女孩天赋的强弱，成绩的真假，对我们这些看客来讲，并没有什么实质意义，只能看个热闹。而真正有意义的，是学习她在中专环境中不随波逐流，保持对数学热爱的这种精神。
而up跟这些庸俗的看客关注侧重点不同（甚至相反），最关注是是女孩这种精神，其次才是天赋，最最其次的才是质疑这件事情的真假。苏轼曾说:心中有佛，看人即佛，心中有💩，看人即💩。up看的侧重点，正能反映其境界和格局，跟庸俗的人差距",8天前发布,IP属地：河北,4,不要艾特我来赤石,男,我还以为你从来都不会来看我呢,阅读理解满分[doge],7天前发布,IP属地：浙江,4
fbtbgtbh,男,知道你很急，但是你先别急,"赞了！这就是清北大佬的境界和格局。
姜萍这事简而言之，就是一位女生在中专环境中不随波逐流，保持对数学的热爱，最终在竞赛中取得很好名次的事。很多人只是停留在对女孩的质疑和天赋的判定上，而忽略了其最宝贵的精神:在中专环境中不随波逐流，保持对数学的热爱。
女孩天赋的强弱，成绩的真假，对我们这些看客来讲，并没有什么实质意义，只能看个热闹。而真正有意义的，是学习她在中专环境中不随波逐流，保持对数学热爱的这种精神。
而up跟这些庸俗的看客关注侧重点不同（甚至相反），最关注是是女孩这种精神，其次才是天赋，最最其次的才是质疑这件事情的真假。苏轼曾说:心中有佛，看人即佛，心中有💩，看人即💩。up看的侧重点，正能反映其境界和格局，跟庸俗的人差距",8天前发布,IP属地：河北,4,袋装面包,保密,,你就看到了刻苦钻研的精神，没看到弄虚造假的精神，没看到无下限追求流量的精神。所有的精神都是有事实的基础上，浓缩出来的美好力量，红军长征精神，中国女排精神，没有确实美好的事实，哪来的优秀精神。可笑,5天前发布,IP属地：上海,5
fbtbgtbh,男,知道你很急，但是你先别急,"赞了！这就是清北大佬的境界和格局。
姜萍这事简而言之，就是一位女生在中专环境中不随波逐流，保持对数学的热爱，最终在竞赛中取得很好名次的事。很多人只是停留在对女孩的质疑和天赋的判定上，而忽略了其最宝贵的精神:在中专环境中不随波逐流，保持对数学的热爱。
女孩天赋的强弱，成绩的真假，对我们这些看客来讲，并没有什么实质意义，只能看个热闹。而真正有意义的，是学习她在中专环境中不随波逐流，保持对数学热爱的这种精神。
而up跟这些庸俗的看客关注侧重点不同（甚至相反），最关注是是女孩这种精神，其次才是天赋，最最其次的才是质疑这件事情的真假。苏轼曾说:心中有佛，看人即佛，心中有💩，看人即💩。up看的侧重点，正能反映其境界和格局，跟庸俗的人差距",8天前发布,IP属地：河北,4,他还不如找我,保密,反弹,太牛逼了，从小到大这么人这么多话鼓励进步你是一点听不进去，来个不知道真假的逆袭你就学习到了？,5天前发布,IP属地：江苏,4
方形的鸡蛋,男,每追完一部番，都让我觉得无比难过。就像在他们的世界走了一遭，到头来发现只剩你一个人， 什么也不带来，也不带去,我觉得预赛这样已经非常非常强了！17岁、在中专的大环境中、自学、全球预赛12，这几个条件加在一起非常的震撼。我也知道她决赛有可能考的不好，可能决赛的题目非常专业，但是又怎样呢？她对数学极度热爱，沿着自己的爱好继续努力，再系统的学习，我想假以时日在她会爆发出比现在更耀眼的光芒！,8天前发布,IP属地：广西,6,月耳彎彎,保密,,真的，我觉得她非科班出生靠自学加问老师，能跟一群顶尖高手拿到决赛的入场劵已经很厉害了，不知道怎么还有那么多人纠结预赛开卷，其他后面大佬没尽全力不能代表这个女孩不优秀，决赛那些题目水平对她超纲了，真当爽文小说看[笑哭],8天前发布,IP属地：福建,6
方形的鸡蛋,男,每追完一部番，都让我觉得无比难过。就像在他们的世界走了一遭，到头来发现只剩你一个人， 什么也不带来，也不带去,我觉得预赛这样已经非常非常强了！17岁、在中专的大环境中、自学、全球预赛12，这几个条件加在一起非常的震撼。我也知道她决赛有可能考的不好，可能决赛的题目非常专业，但是又怎样呢？她对数学极度热爱，沿着自己的爱好继续努力，再系统的学习，我想假以时日在她会爆发出比现在更耀眼的光芒！,8天前发布,IP属地：广西,6,狮子挽歌zzZZZ,保密,,那一个26名的初中生更牛。,7天前发布,IP属地：四川,5
方形的鸡蛋,男,每追完一部番，都让我觉得无比难过。就像在他们的世界走了一遭，到头来发现只剩你一个人， 什么也不带来，也不带去,我觉得预赛这样已经非常非常强了！17岁、在中专的大环境中、自学、全球预赛12，这几个条件加在一起非常的震撼。我也知道她决赛有可能考的不好，可能决赛的题目非常专业，但是又怎样呢？她对数学极度热爱，沿着自己的爱好继续努力，再系统的学习，我想假以时日在她会爆发出比现在更耀眼的光芒！,8天前发布,IP属地：广西,6,Siina风信子,保密,略略,回复 @狮子挽歌zzZZZ :那个初中生是上海最卷的高中出来的，竞赛圈里也不是没人认识,6天前发布,IP属地：安徽,5
大福鸽鸽核桃妹,保密,,"她出现有着非常时代意义。中国2000年后经济规模飞速发展。经过20年的跨越式、大水漫灌式发展，经济规模是起来了，但是“肥而不壮”、“大而不强”的情况其实非常严重。究其本质原因，基础科学的薄弱是一个重要原因。姜同学的出现，有很多符合主流价值观的爆点标签：
1.方向符合国家未来学科建设的方向。
2.对于当下社会浮躁价值观的“读书无用”、“金钱至上”价值观的一种有力抨击。
3.再平凡的人都有机会，去找到自己擅长的方向。",8天前发布,IP属地：广东,4,超级战斗鸭,男,eternal legend,根据自己的特性选择合适的道路，而不是读书有用无用,8天前发布,IP属地：上海,6
大福鸽鸽核桃妹,保密,,"她出现有着非常时代意义。中国2000年后经济规模飞速发展。经过20年的跨越式、大水漫灌式发展，经济规模是起来了，但是“肥而不壮”、“大而不强”的情况其实非常严重。究其本质原因，基础科学的薄弱是一个重要原因。姜同学的出现，有很多符合主流价值观的爆点标签：
1.方向符合国家未来学科建设的方向。
2.对于当下社会浮躁价值观的“读书无用”、“金钱至上”价值观的一种有力抨击。
3.再平凡的人都有机会，去找到自己擅长的方向。",8天前发布,IP属地：广东,4,您一共消费六个硬币,女,我开了会员，刷个短视频5条出一条硬广一条软广，封面一会推流到漫画一会推流到综艺，电视剧。迟早完蛋,学文科学的？,4天前发布,IP属地：北京,6
大福鸽鸽核桃妹,保密,,"她出现有着非常时代意义。中国2000年后经济规模飞速发展。经过20年的跨越式、大水漫灌式发展，经济规模是起来了，但是“肥而不壮”、“大而不强”的情况其实非常严重。究其本质原因，基础科学的薄弱是一个重要原因。姜同学的出现，有很多符合主流价值观的爆点标签：
1.方向符合国家未来学科建设的方向。
2.对于当下社会浮躁价值观的“读书无用”、“金钱至上”价值观的一种有力抨击。
3.再平凡的人都有机会，去找到自己擅长的方向。",8天前发布,IP属地：广东,4,愚者--------,男,,回复 @您一共消费六个硬币 :这也能搞文理之争？天才[翻白眼],4天前发布,IP属地：江西,5
杨谦礼,男,当年那个给小哀做mv的冬冬,前两天就等着up出这期视频呢，能客观评价。真心希望姜萍能有好的机会，好好发展，好好守护自己的梦想！千万别被网络捧杀了。,9天前发布,IP属地：北京,5,国足去尼玛的世界杯,男,没啥说的，都到我家喝酒去吧ヽ(ﾟ∀ﾟ)ﾉ,【姜萍四大定律——轰动数学界的重大发现-哔哩哔哩】 https://b23.tv/JNeZnyE,6小时前发布,IP属地：湖北,6
AI视频总结,保密,关注并在评论区@我可触发AI视频总结，关注公众H【AI工具汇】自取免费的AI工具和资料,"课代表总结：本期视频深入解析了阿里数学竞赛的题目难度，以一位服装设计专业女生自学数学获得全球第12名的案例为引，展示了竞赛中涉及的各种数学领域，包括线性代数、几何、概率论等。视频详细解析了每道题的解题思路，并强调了选手需要具备全面且深入的数学素养。视频最后以激励人心的方式，鼓励观众找到自己的天赋领域，并为之不断努力。
--本消息由@AI全文总结 召唤发送",9天前发布,IP属地：江苏,3,zyl84519,保密,,我怎么感觉Ai总结的完全没有说出Up的主题思想了。感觉是强行的整理总结，中文的题眼一点都没有提到。,8天前发布,IP属地：上海,5
AI视频总结,保密,关注并在评论区@我可触发AI视频总结，关注公众H【AI工具汇】自取免费的AI工具和资料,"课代表总结：本期视频深入解析了阿里数学竞赛的题目难度，以一位服装设计专业女生自学数学获得全球第12名的案例为引，展示了竞赛中涉及的各种数学领域，包括线性代数、几何、概率论等。视频详细解析了每道题的解题思路，并强调了选手需要具备全面且深入的数学素养。视频最后以激励人心的方式，鼓励观众找到自己的天赋领域，并为之不断努力。
--本消息由@AI全文总结 召唤发送",9天前发布,IP属地：江苏,3,辣鸡B站11,保密,劝人重开，胜造七级浮屠;人间毁灭，还世界以清净,看来ai也无法总结up主说的大段的数学解题思路呀[妙啊],8天前发布,IP属地：上海,2
